[0]  name=Unicorn; desc=It's a unicorn; cmd=; level = 21
[1]  name=Bob; desc=An axe seller; cmd=; level = 2
[2]  name=Sheep; desc=A very wooly sheep; cmd=; level = 0
[3]  name=Chicken; desc=Yep definitely a chicken; cmd=; level = 3
[4]  name=Goblin; desc=An ugly green creature; cmd=; level = 16
[5]  name=Hans; desc=A castle servant; cmd=; level = 3
[6]  name=cow; desc=It's a multi purpose cow; cmd=; level = 9
[7]  name=cook; desc=The head cook of Lumbridge castle; cmd=; level = 20
[8]  name=Bear; desc=Eek! A bear!; cmd=; level = 25
[9]  name=Priest; desc=A priest of Saradomin; cmd=; level = 0
[10]  name=Urhney; desc=He looks a little grumpy; cmd=; level = 10
[11]  name=Man; desc=One of runescapes many citizens; cmd=pickpocket; level = 11
[12]  name=Bartender; desc=I could get a beer off him; cmd=; level = 0
[13]  name=Camel; desc=Oh its a camel; cmd=; level = 0
[14]  name=Gypsy; desc=An old gypsy lady; cmd=; level = 0
[15]  name=Ghost; desc=Ooh spooky; cmd=; level = 15
[16]  name=Sir Prysin; desc=One of the king's knights; cmd=; level = 30
[17]  name=Traiborn the wizard; desc=An old wizard; cmd=; level = 20
[18]  name=Captain Rovin; desc=The head of the palace guard; cmd=; level = 40
[19]  name=Rat; desc=Overgrown vermin; cmd=; level = 10
[20]  name=Reldo; desc=I think he's the librarian; cmd=; level = 20
[21]  name=mugger; desc=He jumps out and attacks people; cmd=; level = 15
[22]  name=Lesser Demon; desc=Lesser but still pretty big; cmd=; level = 78
[23]  name=Giant Spider; desc=I think this spider has been genetically modified; cmd=; level = 10
[24]  name=Man; desc=A shifty looking man; cmd=; level = 30
[25]  name=Jonny the beard; desc=I can see why he's called the beard; cmd=; level = 10
[26]  name=Baraek; desc=A fur trader; cmd=; level = 30
[27]  name=Katrine; desc=She doesn't look to friendly; cmd=; level = 35
[28]  name=Tramp; desc=A scruffy looking chap; cmd=; level = 9
[29]  name=Rat; desc=A small muddy rat; cmd=; level = 3
[30]  name=Romeo; desc=He looks mildly confused; cmd=; level = 20
[31]  name=Juliet; desc=She looks a little stressed; cmd=; level = 2
