init:
deps-jar:
compile:
run:
methodList1 len = 150; methodList2.len = 150
[1] matched client.a.(BI)V and client.h.(II)V with 30.9% certainty
[2] matched client.a.(JB)V and client.a.(IJ)V with 81.9% certainty
[3] matched client.a.(ZLib;II)V and client.a.(Lib;III)V with 73.9% certainty
[4] matched client.d.(Z)V and client.z.(I)V with 76.5% certainty
[5] matched client.a.(Lab;IIII)V and client.a.(IIIILab;)V with 87.3% certainty
[6] matched client.a.(Llb;BI)V and client.a.(ILlb;B)V with 76.6% certainty
[7] matched client.e.(Z)V and client.f.(B)V with 66.4% certainty
[8] matched client.f.(Z)V and client.h.(I)V with 90.5% certainty
[9] matched client.a.(Ljava/lang/String;)Ljava/io/DataInputStream; and client.a.(Ljava/lang/String;)Ljava/io/DataInputStream; with 100.0% certainty
[10] matched client.c.(I)V and client.m.(Z)V with 96.4% certainty
[11] matched client.d.(I)V and client.k.(B)V with 83.2% certainty
[12] matched client.b.(Z)V and client.b.(B)V with 92.8% certainty
[13] matched client.b.(B)V and client.c.(I)V with 72.6% certainty
[14] matched client.b.(IIZ)V and client.a.(ZZI)V with 73.8% certainty
[15] matched client.c.(B)V and client.h.(B)V with 71.4% certainty
[16] matched client.a.(Ly;IZ)V and client.a.(ILy;B)V with 64.2% certainty
[17] matched client.a.(ILy;)V and client.a.(Ly;I)V with 72.6% certainty
[18] matched client.a.(Ly;I)V and client.b.(Ly;I)V with 88.0% certainty
[19] matched client.a.(BLy;)V and client.a.(Ly;B)V with 74.8% certainty
[20] matched client.b.(BLy;)V and client.c.(Ly;I)V with 80.7% certainty
[21] matched client.a.(ZLy;)V and client.a.(BLy;)V with 78.4% certainty
[22] matched client.e.(I)V and client.m.(I)V with 74.2% certainty
[23] matched client.g.(Z)V and client.h.(Z)V with 95.7% certainty
[24] matched client.a.(IIIIIII)V and client.a.(IIIIIII)V with 86.3% certainty
[25] matched client.b.(II)V and client.a.(ZI)V with 78.8% certainty
[26] matched client.h.(Z)V and client.A.(I)V with 83.3% certainty
[27] matched client.a.(IIIIII)V and client.a.(IIIIII)V with 61.3% certainty
[28] matched client.f.(I)V and client.l.(B)V with 85.0% certainty
[29] matched client.a.(IBLjava/lang/String;)V and client.a.(IILjava/lang/String;)V with 61.2% certainty
[30] matched client.g.(I)V and client.E.(I)V with 72.4% certainty
[31] matched client.getCodeBase.()Ljava/net/URL; and client.getCodeBase.()Ljava/net/URL; with 100.0% certainty
[32] matched client.d.(B)V and client.n.(B)V with 60.7% certainty
[33] matched client.a.(ILlb;B)V and client.a.(Llb;ZI)V with 69.4% certainty
[34] matched client.a.(ZJ)V and client.a.(JI)V with 88.5% certainty
[35] matched client.a.(IIIIIZII)V and client.a.(IIIIIIII)V with 71.6% certainty
[36] matched client.b.(Llb;BI)V and client.a.(IZLlb;)V with 75.0% certainty
[37] matched client.i.(Z)Ljava/lang/String; and client.k.(Z)Ljava/lang/String; with 83.3% certainty
[38] matched client.main.([Ljava/lang/String;)V and client.main.([Ljava/lang/String;)V with 92.7% certainty
[39] matched client.e.(B)V and client.r.(B)V with 77.2% certainty
[40] matched client.h.(I)V and client.a.(Z)V with 83.6% certainty
[41] matched client.a.(ILlb;I)V and client.b.(IILlb;)V with 83.3% certainty
[42] matched client.c.(II)V and client.c.(II)V with 78.4% certainty
[43] matched client.d.(II)V and client.e.(II)V with 92.2% certainty
[44] matched client.c.(Z)V and client.r.(I)Z with 78.6% certainty
[45] matched client.a.(IZILd;BIIII)V and client.a.(ILd;IZIIIII)V with 86.8% certainty
[46] matched client.j.(Z)V and client.w.(I)V with 60.4% certainty
[47] matched client.a.(BILd;)I and client.a.(ZLd;I)I with 97.0% certainty
[48] matched client.e.(II)V and client.d.(II)V with 69.7% certainty
[49] matched client.f.(B)V and client.i.(B)V with 72.2% certainty
[50] matched client.b.(ILlb;I)V and client.a.(Llb;II)V with 63.9% certainty
