[0]  name=Wall; desc=; cmd1=WalkTo; cmd2=Examine
[1]  name=Doorframe; desc=; cmd1=WalkTo; cmd2=Close
[2]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[3]  name=Window; desc=; cmd1=WalkTo; cmd2=Examine
[4]  name=Fence; desc=; cmd1=WalkTo; cmd2=Examine
[5]  name=railings; desc=; cmd1=WalkTo; cmd2=Examine
[6]  name=Stained glass window; desc=; cmd1=WalkTo; cmd2=Examine
[7]  name=Highwall; desc=; cmd1=WalkTo; cmd2=Examine
[8]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[9]  name=Doorframe; desc=; cmd1=WalkTo; cmd2=Close
[10]  name=battlement; desc=; cmd1=WalkTo; cmd2=Examine
[11]  name=Doorframe; desc=; cmd1=WalkTo; cmd2=Examine
[12]  name=snowwall; desc=; cmd1=WalkTo; cmd2=Examine
[13]  name=arrowslit; desc=; cmd1=WalkTo; cmd2=Examine
[14]  name=timberwall; desc=; cmd1=WalkTo; cmd2=Examine
[15]  name=timberwindow; desc=; cmd1=WalkTo; cmd2=Examine
[16]  name=blank; desc=; cmd1=WalkTo; cmd2=Examine
[17]  name=highblank; desc=; cmd1=WalkTo; cmd2=Examine
[18]  name=mossybricks; desc=; cmd1=WalkTo; cmd2=Examine
[19]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[20]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[21]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[22]  name=Odd looking wall; desc=This wall doesn't look quite right; cmd1=Push; cmd2=Examine
[23]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[24]  name=web; desc=A spider's web; cmd1=WalkTo; cmd2=Examine
[25]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[26]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[27]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[28]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[29]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[30]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[31]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[32]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[33]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[34]  name=Window; desc=; cmd1=WalkTo; cmd2=Examine
[35]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[36]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[37]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[38]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[39]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[40]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[41]  name=Crumbled; desc=; cmd1=WalkTo; cmd2=Examine
[42]  name=Cavern; desc=; cmd1=WalkTo; cmd2=Examine
[43]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[44]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[45]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[46]  name=cavern2; desc=; cmd1=WalkTo; cmd2=Examine
[47]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[48]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[49]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[50]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[51]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[52]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[53]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[54]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[55]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[56]  name=Wall; desc=; cmd1=WalkTo; cmd2=Examine
[57]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[58]  name=Strange looking wall; desc=This wall doesn't look quite right; cmd1=Push; cmd2=Examine
