[0]  name=head1; hlb=1; ilb=13; jlb=1; klb=0; llb=0
[1]  name=body1; hlb=2; ilb=6; jlb=1; klb=0; llb=27
[2]  name=legs1; hlb=3; ilb=15; jlb=1; klb=0; llb=54
[3]  name=fhead1; hlb=1; ilb=13; jlb=1; klb=0; llb=81
[4]  name=fbody1; hlb=2; ilb=10; jlb=1; klb=0; llb=108
[5]  name=head2; hlb=1; ilb=13; jlb=1; klb=0; llb=135
[6]  name=head3; hlb=1; ilb=5; jlb=1; klb=0; llb=162
[7]  name=head4; hlb=1; ilb=13; jlb=1; klb=0; llb=189
[8]  name=chefshat; hlb=16777215; ilb=0; jlb=1; klb=0; llb=216
[9]  name=apron; hlb=16777215; ilb=0; jlb=1; klb=0; llb=243
[10]  name=apron; hlb=9789488; ilb=0; jlb=1; klb=0; llb=243
[11]  name=boots; hlb=5592405; ilb=0; jlb=1; klb=0; llb=270
[12]  name=fullhelm; hlb=16737817; ilb=0; jlb=1; klb=0; llb=297
[13]  name=fullhelm; hlb=15654365; ilb=0; jlb=1; klb=0; llb=297
[14]  name=fullhelm; hlb=15658734; ilb=0; jlb=1; klb=0; llb=297
[15]  name=fullhelm; hlb=10072780; ilb=0; jlb=1; klb=0; llb=297
[16]  name=fullhelm; hlb=11717785; ilb=0; jlb=1; klb=0; llb=297
[17]  name=fullhelm; hlb=65535; ilb=0; jlb=1; klb=0; llb=297
[18]  name=fullhelm; hlb=3158064; ilb=0; jlb=1; klb=0; llb=297
[19]  name=fullhelm; hlb=16777215; ilb=0; jlb=1; klb=0; llb=297
[20]  name=chainmail; hlb=16737817; ilb=0; jlb=1; klb=0; llb=324
[21]  name=chainmail; hlb=15654365; ilb=0; jlb=1; klb=0; llb=324
[22]  name=chainmail; hlb=15658734; ilb=0; jlb=1; klb=0; llb=324
[23]  name=chainmail; hlb=10072780; ilb=0; jlb=1; klb=0; llb=324
[24]  name=chainmail; hlb=11717785; ilb=0; jlb=1; klb=0; llb=324
[25]  name=chainmail; hlb=65535; ilb=0; jlb=1; klb=0; llb=324
[26]  name=chainmail; hlb=3158064; ilb=0; jlb=1; klb=0; llb=324
[27]  name=platemailtop; hlb=16737817; ilb=0; jlb=1; klb=0; llb=351
[28]  name=platemailtop; hlb=15654365; ilb=0; jlb=1; klb=0; llb=351
[29]  name=platemailtop; hlb=15658734; ilb=0; jlb=1; klb=0; llb=351
[30]  name=platemailtop; hlb=10072780; ilb=0; jlb=1; klb=0; llb=351
[31]  name=platemailtop; hlb=11717785; ilb=0; jlb=1; klb=0; llb=351
[32]  name=platemailtop; hlb=3158064; ilb=0; jlb=1; klb=0; llb=351
[33]  name=platemailtop; hlb=65535; ilb=0; jlb=1; klb=0; llb=351
[34]  name=platemailtop; hlb=16777215; ilb=0; jlb=1; klb=0; llb=351
[35]  name=platemailtop; hlb=10083839; ilb=0; jlb=1; klb=0; llb=351
[36]  name=platemaillegs; hlb=16737817; ilb=0; jlb=1; klb=0; llb=378
[37]  name=platemaillegs; hlb=15654365; ilb=0; jlb=1; klb=0; llb=378
[38]  name=platemaillegs; hlb=15658734; ilb=0; jlb=1; klb=0; llb=378
[39]  name=platemaillegs; hlb=10072780; ilb=0; jlb=1; klb=0; llb=378
[40]  name=platemaillegs; hlb=11717785; ilb=0; jlb=1; klb=0; llb=378
[41]  name=platemaillegs; hlb=65535; ilb=0; jlb=1; klb=0; llb=378
[42]  name=platemaillegs; hlb=4210752; ilb=0; jlb=1; klb=0; llb=378
[43]  name=platemaillegs; hlb=16777215; ilb=0; jlb=1; klb=0; llb=378
[44]  name=platemaillegs; hlb=10083839; ilb=0; jlb=1; klb=0; llb=378
[45]  name=leatherarmour; hlb=0; ilb=0; jlb=1; klb=0; llb=405
[46]  name=leathergloves; hlb=0; ilb=0; jlb=1; klb=0; llb=432
[47]  name=sword; hlb=16737817; ilb=0; jlb=1; klb=0; llb=459
[48]  name=sword; hlb=15654365; ilb=0; jlb=1; klb=0; llb=459
[49]  name=sword; hlb=15658734; ilb=0; jlb=1; klb=0; llb=459
[50]  name=sword; hlb=10072780; ilb=0; jlb=1; klb=0; llb=459
[51]  name=sword; hlb=11717785; ilb=0; jlb=1; klb=0; llb=459
[52]  name=sword; hlb=65535; ilb=0; jlb=1; klb=0; llb=459
[53]  name=sword; hlb=3158064; ilb=0; jlb=1; klb=0; llb=459
[54]  name=fplatemailtop; hlb=16737817; ilb=0; jlb=1; klb=0; llb=486
[55]  name=fplatemailtop; hlb=15654365; ilb=0; jlb=1; klb=0; llb=486
[56]  name=fplatemailtop; hlb=15658734; ilb=0; jlb=1; klb=0; llb=486
[57]  name=fplatemailtop; hlb=10072780; ilb=0; jlb=1; klb=0; llb=486
[58]  name=fplatemailtop; hlb=11717785; ilb=0; jlb=1; klb=0; llb=486
[59]  name=fplatemailtop; hlb=65535; ilb=0; jlb=1; klb=0; llb=486
[60]  name=fplatemailtop; hlb=3158064; ilb=0; jlb=1; klb=0; llb=486
[61]  name=apron; hlb=16777215; ilb=0; jlb=1; klb=0; llb=243
[62]  name=cape; hlb=16711680; ilb=0; jlb=1; klb=0; llb=513
[63]  name=cape; hlb=2434341; ilb=0; jlb=1; klb=0; llb=513
[64]  name=cape; hlb=4210926; ilb=0; jlb=1; klb=0; llb=513
[65]  name=cape; hlb=4246592; ilb=0; jlb=1; klb=0; llb=513
[66]  name=cape; hlb=15658560; ilb=0; jlb=1; klb=0; llb=513
[67]  name=cape; hlb=15636736; ilb=0; jlb=1; klb=0; llb=513
[68]  name=cape; hlb=11141341; ilb=0; jlb=1; klb=0; llb=513
[69]  name=mediumhelm; hlb=16737817; ilb=0; jlb=1; klb=0; llb=540
[70]  name=mediumhelm; hlb=15654365; ilb=0; jlb=1; klb=0; llb=540
