[0]  name=Iron Mace; desc=A spiky mace; cmd=; price = 63; member=0
[1]  name=Iron Short Sword; desc=A razor sharp sword; cmd=; price = 91; member=0
[2]  name=Iron Kite Shield; desc=A large metal shield; cmd=; price = 238; member=0
[3]  name=Iron Square Shield; desc=A medium metal shield; cmd=; price = 168; member=0
[4]  name=Wooden Shield; desc=A solid wooden shield; cmd=; price = 20; member=0
[5]  name=Medium Iron Helmet; desc=A medium sized helmet; cmd=; price = 84; member=0
[6]  name=Large Iron Helmet; desc=A full face helmet; cmd=; price = 154; member=0
[7]  name=Iron Chain Mail Body; desc=A series of connected metal rings; cmd=; price = 210; member=0
[8]  name=Iron Plate Mail Body; desc=Provides excellent protection; cmd=; price = 560; member=0
[9]  name=Iron Plate Mail Legs; desc=These look pretty heavy; cmd=; price = 280; member=0
[10]  name=Coins; desc=Lovely money!; cmd=; price = 1; member=0
[11]  name=Bronze Arrows; desc=Arrows with bronze heads; cmd=; price = 2; member=0
[12]  name=Iron Axe; desc=A woodcutters axe; cmd=; price = 56; member=0
[13]  name=Knife; desc=A dangerous looking knife; cmd=; price = 6; member=0
[14]  name=Logs; desc=A number of wooden logs; cmd=; price = 4; member=0
[15]  name=Leather Armour; desc=Better than no armour!; cmd=; price = 21; member=0
[16]  name=Leather Gloves; desc=These will keep my hands warm!; cmd=; price = 6; member=0
[17]  name=Boots; desc=Comfortable leather boots; cmd=; price = 6; member=0
[18]  name=Cabbage; desc=Yuck I don't like cabbage; cmd=Eat; price = 1; member=0
[19]  name=Egg; desc=A nice fresh egg; cmd=; price = 4; member=0
[20]  name=Bones; desc=Ew it's a pile of bones; cmd=Bury; price = 1; member=0
[21]  name=Bucket; desc=It's a wooden bucket; cmd=; price = 2; member=0
[22]  name=Milk; desc=It's a bucket of milk; cmd=; price = 6; member=0
[23]  name=Flour; desc=A little heap of flour; cmd=; price = 2; member=0
[24]  name=Amulet of GhostSpeak; desc=It lets me talk to ghosts; cmd=; price = 35; member=0
[25]  name=Silverlight key 1; desc=A key given to me by Wizard Traiborn; cmd=; price = 1; member=0
[26]  name=Silverlight key 2; desc=A key given to me by Captain Rovin; cmd=; price = 1; member=0
[27]  name=skull; desc=A spooky looking skull; cmd=; price = 1; member=0
[28]  name=Iron dagger; desc=Short but pointy; cmd=; price = 35; member=0
[29]  name=grain; desc=Some wheat heads; cmd=; price = 2; member=0
[30]  name=Book; desc=; cmd=read; price = 1; member=0
[31]  name=Fire-Rune; desc=One of the 4 basic elemental runes; cmd=; price = 4; member=0
[32]  name=Water-Rune; desc=One of the 4 basic elemental runes; cmd=; price = 4; member=0
[33]  name=Air-Rune; desc=One of the 4 basic elemental runes; cmd=; price = 4; member=0
[34]  name=Earth-Rune; desc=One of the 4 basic elemental runes; cmd=; price = 4; member=0
[35]  name=Mind-Rune; desc=Used for low level missile spells; cmd=; price = 3; member=0
[36]  name=Body-Rune; desc=Used for curse spells; cmd=; price = 3; member=0
[37]  name=Life-Rune; desc=Used for summon spells; cmd=; price = 1; member=1
[38]  name=Death-Rune; desc=Used for high level missile spells; cmd=; price = 20; member=0
[39]  name=Needle; desc=Used with a thread to make clothes; cmd=; price = 1; member=0
[40]  name=Nature-Rune; desc=Used for alchemy spells; cmd=; price = 7; member=0
[41]  name=Chaos-Rune; desc=Used for mid level missile spells; cmd=; price = 10; member=0
[42]  name=Law-Rune; desc=Used for teleport spells; cmd=; price = 12; member=0
[43]  name=Thread; desc=Used with a needle to make clothes; cmd=; price = 1; member=0
[44]  name=Holy Symbol of saradomin; desc=This needs a string putting on it; cmd=; price = 200; member=0
[45]  name=Unblessed Holy Symbol; desc=This needs blessing; cmd=; price = 200; member=0
[46]  name=Cosmic-Rune; desc=Used for enchant spells; cmd=; price = 15; member=0
[47]  name=key; desc=The key to get into the phoenix gang; cmd=; price = 1; member=0
[48]  name=key; desc=The key to the phoenix gang's weapons store; cmd=; price = 1; member=0
[49]  name=scroll; desc=An intelligence Report; cmd=; price = 5; member=0
[50]  name=Water; desc=It's a bucket of water; cmd=; price = 6; member=0
[51]  name=Silverlight key 3; desc=A key I found in a drain; cmd=; price = 1; member=0
[52]  name=Silverlight; desc=A magic sword; cmd=; price = 50; member=0
[53]  name=Broken shield; desc=Half of the shield of Arrav; cmd=; price = 1; member=0
[54]  name=Broken shield; desc=Half of the shield of Arrav; cmd=; price = 1; member=0
[55]  name=Cadavaberries; desc=Poisonous berries; cmd=; price = 1; member=0
[56]  name=message; desc=A message from Juliet to Romeo; cmd=; price = 1; member=0
[57]  name=Cadava; desc=I'm meant to give this to Juliet; cmd=; price = 1; member=0
[58]  name=potion; desc=this is meant to be good for spots; cmd=; price = 1; member=0
[59]  name=Phoenix Crossbow; desc=Former property of the phoenix gang; cmd=; price = 4; member=0
[60]  name=Crossbow; desc=This fires crossbow bolts; cmd=; price = 70; member=0
[61]  name=Certificate; desc=I can use this to claim a reward from the king; cmd=; price = 1; member=0
[62]  name=bronze dagger; desc=Short but pointy; cmd=; price = 10; member=0
[63]  name=Steel dagger; desc=Short but pointy; cmd=; price = 125; member=0
[64]  name=Mithril dagger; desc=Short but pointy; cmd=; price = 325; member=0
[65]  name=Adamantite dagger; desc=Short but pointy; cmd=; price = 800; member=0
[66]  name=Bronze Short Sword; desc=A razor sharp sword; cmd=; price = 26; member=0
[67]  name=Steel Short Sword; desc=A razor sharp sword; cmd=; price = 325; member=0
[68]  name=Mithril Short Sword; desc=A razor sharp sword; cmd=; price = 845; member=0
[69]  name=Adamantite Short Sword; desc=A razor sharp sword; cmd=; price = 2080; member=0
[70]  name=Bronze Long Sword; desc=A razor sharp sword; cmd=; price = 40; member=0
[71]  name=Iron Long Sword; desc=A razor sharp sword; cmd=; price = 140; member=0
[72]  name=Steel Long Sword; desc=A razor sharp sword; cmd=; price = 500; member=0
[73]  name=Mithril Long Sword; desc=A razor sharp sword; cmd=; price = 1300; member=0
[74]  name=Adamantite Long Sword; desc=A razor sharp sword; cmd=; price = 3200; member=0
[75]  name=Rune long sword; desc=A razor sharp sword; cmd=; price = 32000; member=0
[76]  name=Bronze 2-handed Sword; desc=A very large sword; cmd=; price = 80; member=0
[77]  name=Iron 2-handed Sword; desc=A very large sword; cmd=; price = 280; member=0
[78]  name=Steel 2-handed Sword; desc=A very large sword; cmd=; price = 1000; member=0
[79]  name=Mithril 2-handed Sword; desc=A very large sword; cmd=; price = 2600; member=0
[80]  name=Adamantite 2-handed Sword; desc=A very large sword; cmd=; price = 6400; member=0
[81]  name=rune 2-handed Sword; desc=A very large sword; cmd=; price = 64000; member=0
[82]  name=Bronze Scimitar; desc=A vicious curved sword; cmd=; price = 32; member=0
[83]  name=Iron Scimitar; desc=A vicious curved sword; cmd=; price = 112; member=0
[84]  name=Steel Scimitar; desc=A vicious curved sword; cmd=; price = 400; member=0
[85]  name=Mithril Scimitar; desc=A vicious curved sword; cmd=; price = 1040; member=0
[86]  name=Adamantite Scimitar; desc=A vicious curved sword; cmd=; price = 2560; member=0
[87]  name=bronze Axe; desc=A woodcutters axe; cmd=; price = 16; member=0
[88]  name=Steel Axe; desc=A woodcutters axe; cmd=; price = 200; member=0
[89]  name=Iron battle Axe; desc=A vicious looking axe; cmd=; price = 182; member=0
[90]  name=Steel battle Axe; desc=A vicious looking axe; cmd=; price = 650; member=0
[91]  name=Mithril battle Axe; desc=A vicious looking axe; cmd=; price = 1690; member=0
[92]  name=Adamantite battle Axe; desc=A vicious looking axe; cmd=; price = 4160; member=0
[93]  name=Rune battle Axe; desc=A vicious looking axe; cmd=; price = 41600; member=0
[94]  name=Bronze Mace; desc=A spiky mace; cmd=; price = 18; member=0
[95]  name=Steel Mace; desc=A spiky mace; cmd=; price = 225; member=0
[96]  name=Mithril Mace; desc=A spiky mace; cmd=; price = 585; member=0
[97]  name=Adamantite Mace; desc=A spiky mace; cmd=; price = 1440; member=0
[98]  name=Rune Mace; desc=A spiky mace; cmd=; price = 14400; member=0
[99]  name=Brass key; desc=I wonder what this is the key to; cmd=; price = 1; member=0
[100]  name=staff; desc=It's a slightly magical stick; cmd=; price = 15; member=0
[101]  name=Staff of Air; desc=A Magical staff; cmd=; price = 1500; member=0
[102]  name=Staff of water; desc=A Magical staff; cmd=; price = 1500; member=0
[103]  name=Staff of earth; desc=A Magical staff; cmd=; price = 1500; member=0
[104]  name=Medium Bronze Helmet; desc=A medium sized helmet; cmd=; price = 24; member=0
[105]  name=Medium Steel Helmet; desc=A medium sized helmet; cmd=; price = 300; member=0
[106]  name=Medium Mithril Helmet; desc=A medium sized helmet; cmd=; price = 780; member=0
[107]  name=Medium Adamantite Helmet; desc=A medium sized helmet; cmd=; price = 1920; member=0
[108]  name=Large Bronze Helmet; desc=A full face helmet; cmd=; price = 44; member=0
[109]  name=Large Steel Helmet; desc=A full face helmet; cmd=; price = 550; member=0
[110]  name=Large Mithril Helmet; desc=A full face helmet; cmd=; price = 1430; member=0
[111]  name=Large Adamantite Helmet; desc=A full face helmet; cmd=; price = 3520; member=0
[112]  name=Large Rune Helmet; desc=A full face helmet; cmd=; price = 35200; member=0
[113]  name=Bronze Chain Mail Body; desc=A series of connected metal rings; cmd=; price = 60; member=0
[114]  name=Steel Chain Mail Body; desc=A series of connected metal rings; cmd=; price = 750; member=0
[115]  name=Mithril Chain Mail Body; desc=A series of connected metal rings; cmd=; price = 1950; member=0
[116]  name=Adamantite Chain Mail Body; desc=A series of connected metal rings; cmd=; price = 4800; member=0
[117]  name=Bronze Plate Mail Body; desc=Provides excellent protection; cmd=; price = 160; member=0
[118]  name=Steel Plate Mail Body; desc=Provides excellent protection; cmd=; price = 2000; member=0
[119]  name=Mithril Plate Mail Body; desc=Provides excellent protection; cmd=; price = 5200; member=0
[120]  name=Adamantite Plate Mail Body; desc=Provides excellent protection; cmd=; price = 12800; member=0
[121]  name=Steel Plate Mail Legs; desc=These look pretty heavy; cmd=; price = 1000; member=0
[122]  name=Mithril Plate Mail Legs; desc=These look pretty heavy; cmd=; price = 2600; member=0
[123]  name=Adamantite Plate Mail Legs; desc=These look pretty heavy; cmd=; price = 6400; member=0
[124]  name=Bronze Square Shield; desc=A medium metal shield; cmd=; price = 48; member=0
[125]  name=Steel Square Shield; desc=A medium metal shield; cmd=; price = 600; member=0
[126]  name=Mithril Square Shield; desc=A medium metal shield; cmd=; price = 1560; member=0
[127]  name=Adamantite Square Shield; desc=A medium metal shield; cmd=; price = 3840; member=0
[128]  name=Bronze Kite Shield; desc=A large metal shield; cmd=; price = 68; member=0
[129]  name=Steel Kite Shield; desc=A large metal shield; cmd=; price = 850; member=0
[130]  name=Mithril Kite Shield; desc=A large metal shield; cmd=; price = 2210; member=0
[131]  name=Adamantite Kite Shield; desc=A large metal shield; cmd=; price = 5440; member=0
[132]  name=cookedmeat; desc=Mmm this looks tasty; cmd=Eat; price = 4; member=0
[133]  name=raw chicken; desc=I need to cook this first; cmd=; price = 1; member=0
[134]  name=burntmeat; desc=Oh dear; cmd=; price = 1; member=0
[135]  name=pot; desc=This pot is empty; cmd=; price = 1; member=0
[136]  name=flour; desc=There is flour in this pot; cmd=; price = 10; member=0
[137]  name=bread dough; desc=Some uncooked dough; cmd=; price = 1; member=0
[138]  name=bread; desc=Nice crispy bread; cmd=Eat; price = 12; member=0
[139]  name=burntbread; desc=This bread is ruined!; cmd=; price = 1; member=0
[140]  name=jug; desc=This jug is empty; cmd=; price = 1; member=0
[141]  name=water; desc=It's full of water; cmd=; price = 1; member=0
[142]  name=wine; desc=It's full of wine; cmd=Drink; price = 1; member=0
[143]  name=grapes; desc=Good grapes for wine making; cmd=; price = 1; member=0
[144]  name=shears; desc=For shearing sheep; cmd=; price = 1; member=0
[145]  name=wool; desc=I think this came from a sheep; cmd=; price = 1; member=0
[146]  name=fur; desc=This would make warm clothing; cmd=; price = 10; member=0
[147]  name=cow hide; desc=I should take this to the tannery; cmd=; price = 1; member=0
[148]  name=leather; desc=It's a piece of leather; cmd=; price = 1; member=0
[149]  name=clay; desc=Some hard dry clay; cmd=; price = 1; member=0
[150]  name=copper ore; desc=this needs refining; cmd=; price = 3; member=0
[151]  name=iron ore; desc=this needs refining; cmd=; price = 17; member=0
[152]  name=gold; desc=this needs refining; cmd=; price = 150; member=0
[153]  name=mithril ore; desc=this needs refining; cmd=; price = 162; member=0
[154]  name=adamantite ore; desc=this needs refining; cmd=; price = 400; member=0
[155]  name=coal; desc=hmm a non-renewable energy source!; cmd=; price = 45; member=0
[156]  name=Bronze Pickaxe; desc=Used for mining; cmd=; price = 1; member=0
[157]  name=uncut diamond; desc=this would be worth more cut; cmd=; price = 200; member=0
[158]  name=uncut ruby; desc=this would be worth more cut; cmd=; price = 100; member=0
[159]  name=uncut emerald; desc=this would be worth more cut; cmd=; price = 50; member=0
[160]  name=uncut sapphire; desc=this would be worth more cut; cmd=; price = 25; member=0
[161]  name=diamond; desc=this looks valuable; cmd=; price = 2000; member=0
[162]  name=ruby; desc=this looks valuable; cmd=; price = 1000; member=0
[163]  name=emerald; desc=this looks valuable; cmd=; price = 500; member=0
[164]  name=sapphire; desc=this looks valuable; cmd=; price = 250; member=0
[165]  name=Herb; desc=I need a closer look to identify this; cmd=Identify; price = 1; member=1
[166]  name=tinderbox; desc=useful for lighting a fire; cmd=; price = 1; member=0
[167]  name=chisel; desc=good for detailed crafting; cmd=; price = 1; member=0
[168]  name=hammer; desc=good for hitting things!; cmd=; price = 1; member=0
[169]  name=bronze bar; desc=it's a bar of bronze; cmd=; price = 8; member=0
[170]  name=iron bar; desc=it's a bar of iron; cmd=; price = 28; member=0
[171]  name=steel bar; desc=it's a bar of steel; cmd=; price = 100; member=0
[172]  name=gold bar; desc=this looks valuable; cmd=; price = 300; member=0
[173]  name=mithril bar; desc=it's a bar of mithril; cmd=; price = 300; member=0
[174]  name=adamantite bar; desc=it's a bar of adamantite; cmd=; price = 640; member=0
[175]  name=Pressure gauge; desc=It looks like part of a machine; cmd=; price = 1; member=0
[176]  name=Fish Food; desc=Keeps  your pet fish strong and healthy; cmd=; price = 1; member=0
[177]  name=Poison; desc=This stuff looks nasty; cmd=; price = 1; member=0
[178]  name=Poisoned fish food; desc=Doesn't seem very nice to the poor fishes; cmd=; price = 1; member=0
[179]  name=spinach roll; desc=A home made spinach thing; cmd=Eat; price = 1; member=0
[180]  name=Bad wine; desc=Oh dear; cmd=Drink; price = 1; member=0
[181]  name=Ashes; desc=A heap of ashes; cmd=; price = 2; member=0
[182]  name=Apron; desc=A mostly clean apron; cmd=; price = 2; member=0
[183]  name=Cape; desc=A bright red cape; cmd=; price = 2; member=0
[184]  name=Wizards robe; desc=I can do magic better in this; cmd=; price = 15; member=0
[185]  name=wizardshat; desc=A silly pointed hat; cmd=; price = 2; member=0
[186]  name=Brass necklace; desc=I'd prefer a gold one; cmd=; price = 30; member=0
[187]  name=skirt; desc=A ladies skirt; cmd=; price = 2; member=0
[188]  name=Longbow; desc=A Nice sturdy bow; cmd=; price = 80; member=0
[189]  name=Shortbow; desc=Short but effective; cmd=; price = 50; member=0
[190]  name=Crossbow bolts; desc=Good if you have a crossbow!; cmd=; price = 3; member=0
[191]  name=Apron; desc=this will help keep my clothes clean; cmd=; price = 2; member=0
[192]  name=Chef's hat; desc=What a silly hat; cmd=; price = 2; member=0
[193]  name=Beer; desc=A glass of frothy ale; cmd=drink; price = 2; member=0
[194]  name=skirt; desc=A ladies skirt; cmd=; price = 2; member=0
[195]  name=skirt; desc=A ladies skirt; cmd=; price = 2; member=0
[196]  name=Black Plate Mail Body; desc=Provides excellent protection; cmd=; price = 3840; member=0
[197]  name=Staff of fire; desc=A Magical staff; cmd=; price = 1500; member=0
[198]  name=Magic Staff; desc=A Magical staff; cmd=; price = 200; member=0
[199]  name=wizardshat; desc=A silly pointed hat; cmd=; price = 2; member=0
[200]  name=silk; desc=It's a sheet of silk; cmd=; price = 30; member=0
[201]  name=flier; desc=Get your axes from Bob's axes; cmd=; price = 1; member=0
[202]  name=tin ore; desc=this needs refining; cmd=; price = 3; member=0
[203]  name=Mithril Axe; desc=A powerful axe; cmd=; price = 520; member=0
[204]  name=Adamantite Axe; desc=A powerful axe; cmd=; price = 1280; member=0
[205]  name=bronze battle Axe; desc=A vicious looking axe; cmd=; price = 52; member=0
[206]  name=Bronze Plate Mail Legs; desc=These look pretty heavy; cmd=; price = 80; member=0
[207]  name=Ball of wool; desc=Spun from sheeps wool; cmd=; price = 2; member=0
[208]  name=Oil can; desc=Its pretty full; cmd=; price = 3; member=0
[209]  name=Cape; desc=A warm black cape; cmd=; price = 7; member=0
[210]  name=Kebab; desc=A meaty Kebab; cmd=eat; price = 3; member=0
[211]  name=Spade; desc=A fairly small spade; cmd=Dig; price = 3; member=0
[212]  name=Closet Key; desc=A slightly smelly key; cmd=; price = 1; member=0
[213]  name=rubber tube; desc=Its slightly charred; cmd=; price = 3; member=0
[214]  name=Bronze Plated Skirt; desc=Designer leg protection; cmd=; price = 80; member=0
[215]  name=Iron Plated Skirt; desc=Designer leg protection; cmd=; price = 280; member=0
[216]  name=Black robe; desc=I can do magic better in this; cmd=; price = 13; member=0
[217]  name=stake; desc=A very pointy stick; cmd=; price = 8; member=0
[218]  name=Garlic; desc=A clove of garlic; cmd=; price = 3; member=0
[219]  name=Red spiders eggs; desc=eewww; cmd=; price = 7; member=0
[220]  name=Limpwurt root; desc=the root of a limpwurt plant; cmd=; price = 7; member=0
[221]  name=Strength Potion; desc=4 doses of strength potion; cmd=Drink; price = 14; member=0
[222]  name=Strength Potion; desc=3 doses of strength potion; cmd=Drink; price = 13; member=0
[223]  name=Strength Potion; desc=2 doses of strength potion; cmd=Drink; price = 13; member=0
[224]  name=Strength Potion; desc=1 dose of strength potion; cmd=Drink; price = 11; member=0
[225]  name=Steel Plated skirt; desc=designer leg protection; cmd=; price = 1000; member=0
[226]  name=Mithril Plated skirt; desc=Designer Leg protection; cmd=; price = 2600; member=0
[227]  name=Adamantite Plated skirt; desc=Designer leg protection; cmd=; price = 6400; member=0
[228]  name=Cabbage; desc=Yuck I don't like cabbage; cmd=Eat; price = 1; member=0
[229]  name=Cape; desc=A thick blue cape; cmd=; price = 32; member=0
[230]  name=Large Black Helmet; desc=A full face helmet; cmd=; price = 1056; member=0
[231]  name=Red Bead; desc=A small round red bead; cmd=; price = 4; member=0
[232]  name=Yellow Bead; desc=A small round yellow bead; cmd=; price = 4; member=0
[233]  name=Black Bead; desc=A small round black bead; cmd=; price = 4; member=0
[234]  name=White Bead; desc=A small round white bead; cmd=; price = 4; member=0
[235]  name=Amulet of accuracy; desc=It increases my aim; cmd=; price = 100; member=0
[236]  name=Redberries; desc=Very bright red berries; cmd=; price = 3; member=0
[237]  name=Rope; desc=A Coil of rope; cmd=; price = 18; member=0
[238]  name=Reddye; desc=A little bottle of dye; cmd=; price = 5; member=0
[239]  name=Yellowdye; desc=A little bottle of dye; cmd=; price = 5; member=0
[240]  name=Paste; desc=A bottle off skin coloured paste; cmd=; price = 5; member=0
[241]  name=Onion; desc=A strong smelling onion; cmd=; price = 3; member=0
[242]  name=Bronze key; desc=A heavy key; cmd=; price = 1; member=0
[243]  name=Soft Clay; desc=Clay that's ready to be used; cmd=; price = 2; member=0
