[0]  name=Tree; desc=A pointy tree; cmd1=Chop; cmd2=Examine; name? = tree2
[1]  name=Tree; desc=A leafy tree; cmd1=Chop; cmd2=Examine; name? = tree
[2]  name=Well; desc=The bucket is missing; cmd1=WalkTo; cmd2=Examine; name? = well
[3]  name=Table; desc=A mighty fine table; cmd1=WalkTo; cmd2=Examine; name? = table
[4]  name=Treestump; desc=Someone has chopped this tree down!; cmd1=WalkTo; cmd2=Examine; name? = treestump
[5]  name=Ladder; desc=it's a ladder leading upwards; cmd1=Climb-Up; cmd2=Examine; name? = ladder
[6]  name=Ladder; desc=it's a ladder leading downwards; cmd1=Climb-Down; cmd2=Examine; name? = ladderdown
[7]  name=Chair; desc=A sturdy looking chair; cmd1=WalkTo; cmd2=Examine; name? = chair
[8]  name=logs; desc=A pile of logs; cmd1=WalkTo; cmd2=Examine; name? = logpile
[9]  name=Longtable; desc=It has nice candles; cmd1=WalkTo; cmd2=Examine; name? = longtable
[10]  name=Throne; desc=It looks fancy and expensive; cmd1=WalkTo; cmd2=Examine; name? = throne
[11]  name=Range; desc=A hot well stoked range; cmd1=WalkTo; cmd2=Examine; name? = range
[12]  name=Gravestone; desc=R I P; cmd1=WalkTo; cmd2=Examine; name? = gravestone1
[13]  name=Gravestone; desc=Its covered in moss; cmd1=WalkTo; cmd2=Examine; name? = gravestone2
[14]  name=Bed; desc=Ooh nice blankets; cmd1=rest; cmd2=Examine; name? = Bigbed
[15]  name=Bed; desc=Its a bed - wow; cmd1=rest; cmd2=Examine; name? = bed
[16]  name=bar; desc=Mmm beer; cmd1=WalkTo; cmd2=Examine; name? = barpumps
[17]  name=Chest; desc=Perhaps I should search it; cmd1=Search; cmd2=Close; name? = ChestOpen
[18]  name=Chest; desc=I wonder what is inside...; cmd1=Open; cmd2=Examine; name? = ChestClosed
[19]  name=Altar; desc=Its an Altar; cmd1=Recharge at; cmd2=Examine; name? = altar
[20]  name=Post; desc=What am I examining posts for; cmd1=WalkTo; cmd2=Examine; name? = wallpost
[21]  name=Support; desc=A wooden pole; cmd1=WalkTo; cmd2=Examine; name? = supportnw
[22]  name=barrel; desc=Its empty; cmd1=WalkTo; cmd2=Examine; name? = barrel
[23]  name=Bench; desc=It doesn't look very comfy; cmd1=WalkTo; cmd2=Examine; name? = bench
[24]  name=Portrait; desc=A painting of our beloved king; cmd1=WalkTo; cmd2=Examine; name? = portrait
[25]  name=candles; desc=Candles on a fancy candlestick; cmd1=WalkTo; cmd2=Examine; name? = candles
[26]  name=fountain; desc=The water looks fairly clean; cmd1=WalkTo; cmd2=Examine; name? = fountain
[27]  name=landscape; desc=An oil painting; cmd1=WalkTo; cmd2=Examine; name? = landscape
[28]  name=Millstones; desc=You can use these to make flour; cmd1=WalkTo; cmd2=Examine; name? = mill
[29]  name=Counter; desc=It's the shop counter; cmd1=WalkTo; cmd2=Examine; name? = counter
[30]  name=Stall; desc=A market stall; cmd1=WalkTo; cmd2=Examine; name? = market
[31]  name=Target; desc=Coming soon archery practice; cmd1=Practice; cmd2=Examine; name? = target
[32]  name=PalmTree; desc=A nice palm tree; cmd1=WalkTo; cmd2=Examine; name? = palm2
[33]  name=PalmTree; desc=A shady palm tree; cmd1=WalkTo; cmd2=Examine; name? = palm
[34]  name=Fern; desc=A leafy plant; cmd1=WalkTo; cmd2=Examine; name? = fern
[35]  name=Cactus; desc=It looks very spikey; cmd1=WalkTo; cmd2=Examine; name? = cactus
[36]  name=Bullrushes; desc=I wonder why it's called a bullrush; cmd1=WalkTo; cmd2=Examine; name? = bullrushes
[37]  name=Flower; desc=Ooh thats pretty; cmd1=WalkTo; cmd2=Examine; name? = flower
[38]  name=Mushroom; desc=I think it's a poisonous one; cmd1=WalkTo; cmd2=Examine; name? = mushroom
[39]  name=Coffin; desc=This coffin is closed; cmd1=Open; cmd2=Examine; name? = coffin
[40]  name=Coffin; desc=This coffin is open; cmd1=Search; cmd2=Close; name? = coffin2
[41]  name=stairs; desc=These lead upstairs; cmd1=Go up; cmd2=Examine; name? = woodenstairs
[42]  name=stairs; desc=These lead downstairs; cmd1=Go down; cmd2=Examine; name? = woodenstairsdown
[43]  name=stairs; desc=These lead upstairs; cmd1=Go up; cmd2=Examine; name? = stonestairs
[44]  name=stairs; desc=These lead downstairs; cmd1=Go down; cmd2=Examine; name? = stonestairsdown
[45]  name=railing; desc=nice safety measure; cmd1=WalkTo; cmd2=Examine; name? = woodenrailing
[46]  name=pillar; desc=An ornate pillar; cmd1=WalkTo; cmd2=Examine; name? = marblepillar
[47]  name=Bookcase; desc=A large collection of books; cmd1=WalkTo; cmd2=Examine; name? = bookcase
[48]  name=Sink; desc=Its fairly dirty; cmd1=WalkTo; cmd2=Examine; name? = sink
[49]  name=Dummy; desc=I can practice my fighting here; cmd1=hit; cmd2=Examine; name? = sworddummy
[50]  name=anvil; desc=heavy metal; cmd1=WalkTo; cmd2=Examine; name? = anvil
[51]  name=Torch; desc=It would be very dark without this; cmd1=WalkTo; cmd2=Examine; name? = torcha1
[52]  name=hopper; desc=You put grain in here; cmd1=operate; cmd2=Examine; name? = milltop
[53]  name=chute; desc=Flour comes out here; cmd1=WalkTo; cmd2=Examine; name? = millbase
[54]  name=cart; desc=A farm cart; cmd1=WalkTo; cmd2=Examine; name? = cart
[55]  name=sacks; desc=Yep they're sacks; cmd1=WalkTo; cmd2=Examine; name? = sacks
[56]  name=cupboard; desc=The cupboard is shut; cmd1=open; cmd2=Examine; name? = cupboard
[57]  name=Gate; desc=The gate is closed; cmd1=open; cmd2=Examine; name? = metalgateclosed
[58]  name=gate; desc=The gate is open; cmd1=WalkTo; cmd2=close; name? = metalgateopen
[59]  name=gate; desc=The gate is open; cmd1=WalkTo; cmd2=close; name? = woodengateopen
